time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.247930353718038e-07,-9.111119031760293e-08,10.00383988974178,6.282929093585317,0.0006110923396356327,0.0,-6.556673837995551e-05,-1.4755052187152737e-05,0.12798979667719992,-0.014583471679428512,0.02524428916429012,0.0,444.02959230126015,446.09529692583845,446.9146042217706,445.72465241264194
0.12000000000000001,-2.4819437196153155e-05,-1.0464439966583985e-05,10.016438345291807,6.28199333795202,0.001808931548779924,0.0,-0.0008887043446060467,-0.00043185470835367277,0.2919301438774648,-0.0177017761497717,0.0064656922284474965,0.0,457.7317917580275,456.23515760905536,456.67669376490386,456.4280421199095
0.18,-0.00011489126724753875,-6.354599384503157e-05,10.035810534311404,6.280799317571379,0.002256805844634613,0.0,-0.0021539961873441294,-0.0014458142704405234,0.3537916168061194,-0.024705860261144488,0.009391060043415524,0.0,423.9130652983314,424.16421594471666,425.7192144718821,425.1195897253921
0.23999999999999996,-0.0002949201811686365,-0.000207215947878551,10.060793940001295,6.279374772780095,0.0030392443463798102,0.0,-0.003918914529943956,-0.0034966738073764457,0.4789431863524011,-0.021882187105120462,0.019489791338435196,0.0,444.77506688512926,445.60113315116274,444.61979313217984,444.85096860007246
0.3,-0.0006041611002864816,-0.0005094049854992162,10.094641390461069,6.277907035684265,0.0038440883522756764,0.0,-0.006504525886588218,-0.006731606702937218,0.6492223520829262,-0.030198067842406393,-0.0029234824892663287,0.0,459.8191031305803,458.0402737735751,459.25156410819085,458.59152000219166
0.36000000000000004,-0.001091517164578908,-0.0010554197601604699,10.141267553196254,6.276173805167598,0.004048710699922076,0.0,-0.009744762492364924,-0.011689440151793733,0.904814631380133,-0.026386841218889057,0.013759490761766843,0.0,483.30732315117297,484.562863922666,484.3804914031547,484.66681335601373
0.4200000000000001,-0.0017822219177576367,-0.0019397915949495121,10.202936389719808,6.274395897822627,0.005412983224100998,0.0,-0.013418419508590594,-0.017994557561278123,1.150596355715508,-0.0370719030190107,0.036415715232603035,0.0,480.359074675938,482.07386939045807,482.76598484769494,481.9589651798498
0.48000000000000015,-0.002714765492000395,-0.0032172605348226163,10.27580803770954,6.272147588517523,0.008985793164224987,0.0,-0.01799245912391375,-0.02482375558210321,1.27831971110957,-0.038283701547442456,0.08562062627732676,0.0,444.62113464468865,448.635822575417,447.32285786271484,447.2235231059545
0.5400000000000001,-0.003977658631097176,-0.004917523829114472,10.353233882646064,6.269601347218003,0.014687087937321763,0.0,-0.024599902426565096,-0.03206964946006253,1.3025062107713887,-0.052403221942800844,0.10918459476794151,0.0,412.4533012966327,414.53712121435944,414.8022997216492,413.55943696361726
0.6000000000000002,-0.005809156945718069,-0.0071578138929735535,10.436086312413703,6.266961471945457,0.021111018187617958,0.0,-0.03716353005986782,-0.04291884945725585,1.459037533761069,-0.031006793722349064,0.10245363235301772,0.0,456.17389314554265,455.6458751223996,455.66635285088364,457.37228607074746
0.6600000000000003,-0.008573352001796217,-0.010130961510233627,10.529985367969944,6.2648005704125485,0.027150789155061972,0.0,-0.055692472822938564,-0.0564163122617527,1.6706245387788468,-0.04861146901690681,0.09681978744412639,0.0,474.15757611877757,473.7326570560799,472.9927917447512,471.63460926773433
0.7200000000000003,-0.012583856546071638,-0.013963360119058072,10.636219293395477,6.262144365512317,0.03361273572129786,0.0,-0.07870557251960096,-0.07164803488895187,1.8701725892311611,-0.03676014152483955,0.12350743388244811,0.0,468.89736504307143,470.9750438311336,470.06595894439016,470.9823520892964
0.7800000000000004,-0.018016249432044978,-0.018697019926493853,10.751048674854982,6.260195539570974,0.04123992505512675,0.0,-0.1031226028312964,-0.08634374916784023,1.957294182941018,-0.025062814115911325,0.1335047747755138,0.0,435.0939357121505,435.9451010664071,436.84163816783104,437.8154473683294
0.8400000000000004,-0.025021134838853893,-0.02432266645200474,10.869948171346742,6.258716586942889,0.04895419857787253,0.0,-0.13111459639701623,-0.10131594840084215,2.0058990305434867,-0.023834679073636723,0.11622916077588481,0.0,424.69523331078506,423.2267785750471,424.70661444930954,424.8118110257359
0.9000000000000005,-0.03418935736211368,-0.031040567608178003,10.998463339065289,6.257138469253924,0.05718832580814226,0.0,-0.1754582831232022,-0.12279142281247896,2.2773783992435823,-0.031759112481297175,0.16186224185808618,0.0,490.62000736566085,494.01039773103827,492.7913740719112,492.20521521568145
0.9600000000000005,-0.04596847001154607,-0.03896762203639675,11.13863510551698,6.255303301461478,0.06666860841656774,0.0,-0.21816955788590325,-0.14163134830851087,2.394702035220896,-0.028338102644444526,0.1489010461912176,0.0,448.52735743810456,447.4968710650196,447.55041181056845,447.8284505789256
1.0200000000000005,-0.060608881448029894,-0.04810316517365211,11.28729601385194,6.25429954165293,0.07598505436614911,0.0,-0.2708415345953558,-0.16301843179730122,2.560219862867296,-0.0001395061706598623,0.1656641798426042,0.0,463.0373336195354,464.37561513793935,461.76009677069,463.9791911775274
1.0800000000000005,-0.07829704875035556,-0.058416429955774764,11.441676924822888,6.254832052450267,0.08578947544839544,0.0,-0.31965806050275314,-0.18072593619616523,2.5856709128005817,0.022596993841856775,0.15846767367871806,0.0,420.25263800727026,419.65552757558885,418.88409490095177,420.8565678039048
1.1400000000000006,-0.09945988801415968,-0.06989539479886377,11.601743050027954,6.256069096030931,0.09504992195882522,0.0,-0.38678380112239447,-0.20174860634780475,2.7493808493996976,0.01633140840718007,0.1444649176307769,0.0,463.5529760749995,462.47266173536866,465.2277352653042,464.7368631671133
